epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
144,3192.44,0.39145,0.33831,0.83927,0.97191,0.96135,0.99173,0.92882,0.38645,0.36517,0.83007,0.00171686,0.00171686,0.00171686
145,3215.38,0.40975,0.36179,0.87055,0.94718,0.9964,0.99237,0.93884,0.37972,0.34877,0.82307,0.00171488,0.00171488,0.00171488
146,3238.39,0.41455,0.35742,0.8569,0.92283,0.99664,0.99098,0.93425,0.37585,0.33799,0.81823,0.0017129,0.0017129,0.0017129
147,3261.68,0.40022,0.34768,0.85132,0.9472,0.99676,0.99237,0.91101,0.41723,0.35475,0.82456,0.00171092,0.00171092,0.00171092
148,3284.81,0.39505,0.34329,0.85219,0.94733,0.99924,0.99311,0.92723,0.38886,0.34223,0.81902,0.00170894,0.00170894,0.00170894
149,3308.52,0.39865,0.32958,0.85113,0.94723,0.99722,0.99395,0.94494,0.36438,0.34195,0.81375,0.00170696,0.00170696,0.00170696
150,3331.74,0.3993,0.33537,0.86739,0.94595,1,0.99395,0.93205,0.39236,0.3356,0.8181,0.00170498,0.00170498,0.00170498
151,3355.2,0.42503,0.3543,0.88924,0.97293,0.99845,0.99446,0.91047,0.43518,0.33807,0.82777,0.001703,0.001703,0.001703
152,3378.24,0.41583,0.34536,0.8589,0.96402,1,0.995,0.91014,0.42232,0.33992,0.82356,0.00170102,0.00170102,0.00170102
153,3402.87,0.41488,0.33382,0.86047,0.96267,1,0.995,0.9338,0.36298,0.30928,0.81178,0.00169904,0.00169904,0.00169904
154,3425.06,0.39604,0.33931,0.86542,0.9448,1,0.99237,0.93278,0.36248,0.30935,0.81216,0.00169706,0.00169706,0.00169706
155,3447.68,0.42602,0.3577,0.87485,0.94371,1,0.98921,0.92849,0.35847,0.3221,0.81564,0.00169508,0.00169508,0.00169508
156,3470.29,0.39355,0.34393,0.85807,0.94417,1,0.98921,0.92928,0.37066,0.33302,0.8195,0.0016931,0.0016931,0.0016931
157,3492.54,0.38137,0.33163,0.85188,0.94421,1,0.98921,0.95081,0.34616,0.33341,0.81612,0.00169112,0.00169112,0.00169112
158,3514.55,0.36804,0.32937,0.85222,0.97272,0.99076,0.99284,0.95264,0.33986,0.31193,0.81192,0.00168914,0.00168914,0.00168914
159,3537.73,0.37624,0.33325,0.85454,0.97106,1,0.99365,0.9357,0.34873,0.29773,0.81142,0.00168716,0.00168716,0.00168716
160,3561.15,0.38522,0.3155,0.85942,0.97161,1,0.99284,0.93953,0.36171,0.289,0.81335,0.00168518,0.00168518,0.00168518
161,3585.53,0.33701,0.30008,0.83763,0.97225,1,0.99203,0.9202,0.36373,0.29559,0.81936,0.0016832,0.0016832,0.0016832
162,3609.57,0.37895,0.31114,0.85128,0.97216,1,0.99203,0.93256,0.36207,0.30066,0.82471,0.00168122,0.00168122,0.00168122
163,3634.3,0.37861,0.31776,0.85984,0.97196,1,0.99284,0.93163,0.36466,0.30138,0.82462,0.00167924,0.00167924,0.00167924
